ID,Layer,Domain,Sub-Domain,Entry Type,Name (Full),Acronym,Issuer / Steward,HQ / Region,Scope,Year Est./Published,Status,Why It Matters,Key Outputs / Standards,Official URL,Notes
EC-003,International,Environment,Climate Targets,Treaty,Paris Agreement,Paris Agreement,UNFCCC,"Paris, France",Global,2015,Active,Legally binding commitment to limit global warming to 1.5°C/2°C above pre-industrial levels,NDCs (Nationally Determined Contributions); Global Stocktake,https://unfccc.int/process-and-meetings/the-paris-agreement,
EC-004,International,Environment,Environment,Standards Body,United Nations Environment Programme,UNEP,UN System,"Nairobi, Kenya",Global,1972,Active,Leading UN authority on environment; sets environmental norms & coordinates multilateral agreements,MEAs coordination; UNEP guidance documents,https://www.unep.org,
EC-005,International,Environment,Biodiversity,Treaty,Convention on Biological Diversity,CBD,UN,"Montreal, Canada",1992,Active,Provides framework for biodiversity conservation and equitable benefit-sharing,"CBD, Nagoya Protocol, Kunming-Montreal GBF (2022)",https://www.cbd.int,,
EC-006,International,Environment,Chemicals,Treaty,Stockholm Convention on Persistent Organic Pollutants,Stockholm Convention,UNEP,"Geneva, Switzerland",Global,2001,Active,Eliminates or restricts production and use of POPs,Stockholm Convention; 30 listed POPs,https://www.pops.int,
EC-007,International,Environment,Hazardous Waste,Treaty,Basel Convention on Hazardous Wastes,Basel Convention,UNEP,"Geneva, Switzerland",Global,1989,Active,Controls transboundary movements of hazardous wastes and their disposal,Basel Convention; Ban Amendment; Plastic Waste Amendment,https://www.basel.int,
EC-008,International,Environment,Chemicals Trade,Treaty,Rotterdam Convention on Prior Informed Consent,Rotterdam Convention,UNEP/FAO,"Geneva, Switzerland",Global,1998,Active,Controls trade in hazardous chemicals and pesticides,Rotterdam Convention; 55 listed chemicals,https://www.pic.int,
EC-009,International,Environment,Ozone,Treaty,Montreal Protocol on Ozone-Depleting Substances,Montreal Protocol,UNEP,"Montreal, Canada",Global,1987,Active,Successfully eliminated 99% of ozone-depleting substances,Montreal Protocol + Kigali Amendment (HFCs 2016),https://ozone.unep.org,Most universally ratified environmental treaty
EC-010,International,Environment,Nature Finance,Framework,Taskforce on Nature-related Financial Disclosures,TNFD,TNFD,"London, UK",Global,2021,Active,Develops risk management and disclosure framework for nature-related issues,TNFD Framework v1.0 (2023),https://tnfd.global,
EC-011,International,Environment,Carbon Disclosure,Framework,Task Force on Climate-related Financial Disclosures,TCFD,FSB,"Basel, Switzerland",Global,2015,Active,"Climate risk disclosure recommendations adopted by 1,000+ companies","TCFD Recommendations (2017, 2021 updates)",https://www.fsb-tcfd.org,Disbanded 2023; ISSB S2 now mainstream
EC-012,International,Environment,Sustainability Reporting,Standards Body,Global Reporting Initiative,GRI,GRI,"Amsterdam, Netherlands",Global,1997,Active,World's most widely used sustainability reporting standards,"GRI Universal Standards, Sector Standards (Oil&Gas, Mining, Agriculture)",https://www.globalreporting.org,
EC-013,International,Environment,Sustainability Accounting,Standards Body,SASB — Sustainability Accounting Standards Board,SASB,IFRS Foundation,"San Francisco, USA",Global,2011,Active,Industry-specific sustainability accounting standards for 77 industries,SASB Standards; now under IFRS Foundation,https://sasb.org,
EC-014,International,Environment,Conservation,Standards Body,International Union for Conservation of Nature,IUCN,IUCN,"Gland, Switzerland",Global,1948,Active,World's authority on conservation status; sets conservation standards,IUCN Red List; Protected Areas Categories; Green List,https://www.iucn.org,
EC-015,International,Environment,Endangered Species,Treaty,Convention on International Trade in Endangered Species,CITES,UNEP,"Geneva, Switzerland",Global,1963,Active,Regulates international trade in endangered species of wild fauna and flora,"CITES Appendices I, II, III; permits system",https://cites.org,
EC-016,International,Environment,Environmental Management,Standard,ISO 14001 — Environmental Management Systems,ISO 14001,ISO TC 207,"Geneva, Switzerland",Global,1996,Active,"Most widely used EMS standard; 400,000+ organizations certified globally",ISO 14001:2015; ISO 14004 (implementation guide),https://www.iso.org/iso-14001-environmental-management.html,
EC-017,International,Environment,GHG Accounting,Standard,GHG Protocol,GHG Protocol,WRI / WBCSD,"Washington DC, USA",Global,1998,Active,"Most widely used accounting tool for GHG emissions (Scope 1, 2, 3)",GHG Protocol Corporate Standard; Product Standard; SBTi alignment,https://ghgprotocol.org,
EC-018,International,Environment,Science Targets,Framework,Science Based Targets initiative,SBTi,CDP/UNGC/WRI/WWF,"London, UK",Global,2015,Active,Provides guidance for companies to set emissions targets consistent with Paris Agreement,SBTi Corporate Net-Zero Standard; SBTi FLAG; SBTi Finance,https://sciencebasedtargets.org,
EC-019,International,Environment,Disaster Risk,Framework,Sendai Framework for Disaster Risk Reduction,Sendai Framework,UNDRR,"Sendai, Japan",Global,2015,Active,Global blueprint for DRR 2015-2030; 7 global targets and 38 indicators,Sendai Framework 2015-2030,https://www.undrr.org/implementing-sendai-framework,
EC-020,International,Environment,Lifecycle Assessment,Standard,ISO 14040/44 — Life Cycle Assessment,ISO 14040,ISO TC 207,"Geneva, Switzerland",Global,2006,Active,"Principles, framework and requirements for conducting LCA studies",ISO 14040:2006 + ISO 14044:2006,https://www.iso.org/standard/37456.html,
FS-001,International,Food Safety,Food Standards,Standards Body,Codex Alimentarius Commission,CAC,WHO / FAO,"Rome, Italy",Global,1963,Active,"Joint WHO/FAO body setting international food safety standards, guidelines and codes","Codex Alimentarius (thousands of commodity standards, MRLs, codes of practice)",https://www.fao.org/fao-who-codexalimentarius,
FS-002,International,Food Safety,Food Safety Management,Standard,ISO 22000 — Food Safety Management,ISO 22000,ISO TC 34,"Geneva, Switzerland",Global,2005,Active,Food safety management system standard for entire food chain,ISO 22000:2018; FSSC 22000 (certification scheme),https://www.iso.org/iso-22000-food-safety-management.html,
FS-003,International,Food Safety,Animal Health,Standards Body,World Organisation for Animal Health,WOAH (OIE),WOAH,"Paris, France",Global,1924,Active,"Sets standards for animal disease notification, control and animal welfare",WOAH Terrestrial/Aquatic Animal Health Codes,https://www.woah.org,Formerly OIE; rebranded 2022
FS-004,International,Food Safety,Plant Protection,Treaty,International Plant Protection Convention,IPPC,FAO,"Rome, Italy",Global,1952,Active,Prevents spread of plant pests via international trade and transport,ISPM (International Standards for Phytosanitary Measures),https://www.ippc.int,
FS-005,International,Food Safety,Agriculture,Standards Body,Food and Agriculture Organization of the United Nations,FAO,UN System,"Rome, Italy",Global,1945,Active,Leads international efforts to defeat hunger; sets food and agriculture standards,"Codex (jointly with WHO), ISPM, WOAH liaison, FAO Technical Reports",https://www.fao.org,Treaty-based UN specialized agency
FS-006,International,Food Safety,Organic,Standard,IFOAM Organic Standards,IFOAM,IFOAM Organics International,"Bonn, Germany",Global,1972,Active,Baseline standards for organic production certification worldwide,IFOAM Norms for Organic Production and Processing,https://www.ifoam.bio,
FS-007,International,Food Safety,HACCP,Guideline,Hazard Analysis and Critical Control Points,HACCP,Codex Alimentarius,"Rome, Italy",Global,1993,Active,"Systematic preventive approach to food safety from biological, chemical, and physical hazards",CAC/RCP 1-1969 (rev. 2003) — Recommended International Code of Practice,https://www.fao.org/fao-who-codexalimentarius/codex-texts/codes-of-practice,
FS-008,International,Food Safety,Fisheries,Standard,FAO Code of Conduct for Responsible Fisheries,CCRF,FAO,"Rome, Italy",Global,1995,Active,Principles and standards for responsible fisheries practices globally,FAO CCRF 1995,https://www.fao.org/fishery/en/faofisheries/code,
TR-001,International,Transport,Aviation,Standards Body,International Civil Aviation Organization,ICAO,UN System,"Montreal, Canada",Global,1944,Active,"Sets global standards for civil aviation safety, security, efficiency and environmental protection","Chicago Convention, SARPs (Annex 1-19), PANS, Doc 9984",https://www.icao.int,Treaty-based UN specialized agency; 193 member states
TR-002,International,Transport,Maritime,Standards Body,International Maritime Organization,IMO,UN System,"London, UK",Global,1948,Active,"Sets global standards for shipping safety, security and environmental protection","SOLAS, MARPOL, MLC, STCW, ISM Code, ISPS Code",https://www.imo.org,Treaty-based UN specialized agency
TR-003,International,Transport,Aviation Industry,Standards Body,International Air Transport Association,IATA,IATA,"Montreal, Canada",Global,1945,Active,Trade association for airlines; develops operational safety standards and eDocs,"IATA ISAGO, TACT, DGR, BSP; IATA Codes",https://www.iata.org,Industry body; complements ICAO
TR-004,International,Transport,Maritime Pollution,Treaty,MARPOL — International Convention for the Prevention of Pollution from Ships,MARPOL,IMO,"London, UK",Global,1973,Active,Prevents pollution of the marine environment by ships from operational or accidental causes,"MARPOL 73/78; Annexes I-VI (oil, chemicals, sewage, garbage, air, ballast)",https://www.imo.org/en/About/Conventions/Pages/International-Convention-for-the-Prevention-of-Pollution-from-Ships-(MARPOL).aspx,
TR-005,International,Transport,Maritime Safety,Treaty,SOLAS — Safety of Life at Sea,SOLAS,IMO,"London, UK",Global,1914,Active,Primary treaty governing maritime safety; sets minimum safety standards for ships,SOLAS 1974 (consolidated); Chapters I-XIV,"https://www.imo.org/en/About/Conventions/Pages/International-Convention-for-the-Safety-of-Life-at-Sea-(SOLAS),-1974.aspx",
TR-006,International,Transport,Maritime Labour,Treaty,Maritime Labour Convention,MLC 2006,ILO / IMO,"Geneva, Switzerland",Global,2006,Active,Comprehensive international labour convention for seafarers' rights and conditions,MLC 2006 (consolidated 2022),https://www.ilo.org/global/standards/maritime-labour-convention,
TR-007,International,Transport,Railways,Standards Body,International Union of Railways,UIC,UIC,"Paris, France",Global,1922,Active,Sets international technical standards for railway interoperability,UIC Leaflets; COTIF (railway transport law),https://www.uic.org,
