identifier,parent,titleEn,titleFr,scopeEn,scopeFr
"17.140","17","Acoustics and acoustic measurements","Acoustique et mesurage acoustique","Including measuring instruments and testing equipment","Y compris instruments de mesure et d'essai"
"17.160","17","Vibrations, shock and vibration measurements","Vibrations, chocs et mesurage des vibrations","Including measuring instruments and installations","Y compris installations et instruments de mesure"
"17.180","17","Optics and optical measurements","Optique et mesurage optique",,
"17.200","17","Thermodynamics and temperature measurements","Thermodynamique et mesurage de température",,
"17.220","17","Electricity. Magnetism. Electrical and magnetic measurements","Électricité. Magnétisme. Mesurage électrique et magnétique",,
"17.240","17","Radiation measurements","Mesurage des rayonnements","Including dosimetry","Y compris dosimétrie"
"19.020","19","Test conditions and procedures in general","Modes opératoires et conditions d'essai en général",,
"19.040","19","Environmental testing","Essais d'environnement","Including testing equipment","Y compris le matériel correspondant"
"19.060","19","Mechanical testing","Essais mécaniques","Including testing equipment","Y compris le matériel correspondant"
"19.080","19","Electrical and electronic testing","Essais électriques et électroniques","Including testing equipment","Y compris le matériel correspondant"
"19.100","19","Non-destructive testing","Essais non destructifs","Including testing equipment: industrial apparatus for X-ray and gamma radiography, penetrant flaw detectors, etc.","Y compris le matériel correspondant : appareillage industriel pour radiographie à rayons X et radiographie gamma, contrôle par ressuage, etc."
"19.120","19","Particle size analysis. Sieving","Analyse dimensionnelle des particules. Tamisage","Including test sieves and porosimetry","Y compris les tamis de contrôle et la porosimétrie"
"21.020","21","Characteristics and design of machines, apparatus, equipment","Caractéristiques et conception des machines, appareils et équipements","Including reliability, dependability, maintainability, durability, etc.","Y compris fiabilité, sûreté de fonctionnement, maintenabilité, durabilité, etc."
"21.040","21","Screw threads","Filetages",,
"21.060","21","Fasteners","Éléments de fixation",,
"21.080","21","Hinges, eyelets and other articulated joints","Articulations , oeillets et autres éléments articulés",,
"21.100","21","Bearings","Paliers et roulements",,
"21.120","21","Shafts and couplings","Arbres et accouplements",,
"21.140","21","Seals, glands","Joints d'étanchéité, garnitures mécanique d'étanchéité",,
"21.160","21","Springs","Ressorts",,
"21.180","21","Housings, enclosures, other machine parts","Logements, enceintes, autres parties de machines",,
"21.200","21","Gears","Engrenages",,
"21.220","21","Flexible drives and transmissions","Transmissions et entraînements souples",,
"21.240","21","Rotary-reciprocating mechanisms and their parts","Mécanismes tournants et alternatifs et leurs composants","Including pistons, piston-rings, crankshafts, etc. for general engineering","Y compris pistons, segments de pistons, vilebrequins, etc. pour la mécanique générale"
"21.260","21","Lubrication systems","Systèmes de lubrification",,
"23.020","23","Fluid storage devices","Dispositifs d'entreposage des fluides",,
"23.040","23","Pipeline components and pipelines","Canalisations et accessoires",,
"23.060","23","Valves","Robinetterie",,
"23.080","23","Pumps","Pompes",,
"23.100","23","Fluid power systems","Transmissions hydrauliques et pneumatiques",,
"23.120","23","Ventilators. Fans. Air-conditioners","Ventilateurs et climatiseurs",,
"23.140","23","Compressors and pneumatic machines","Compresseurs et machines pneumatiques",,
"23.160","23","Vacuum technology","Technologie du vide","Including vacuum pumps","Y compris pompes à vide"
"25.020","25","Manufacturing forming processes","Procédés de formage",,
"25.030","25","Additive manufacturing","Fabrication additive",,
"25.040","25","Industrial automation systems","Systèmes d'automatisation industrielle",,
"25.060","25","Machine tool systems","Systèmes de machines-outils",,
"25.080","25","Machine tools","Machines-outils",,
"25.100","25","Cutting tools","Outils de coupe","Including industrial diamonds","Y compris diamants industriels"
"25.120","25","Chipless working equipment","Matériel opérant sans copeaux",,
"25.140","25","Hand-held tools","Outils à main",,
"25.160","25","Welding, brazing and soldering","Soudage et brasage","Including gas welding, electric welding, plasma welding, electron beam welding, plasma cutting, etc.","Y compris le soudage aux gaz, le soudage électrique, le soudage par faisceau d'électrons, le soudage et le coupage au plasma, etc."
"25.180","25","Industrial furnaces","Fours industriels",,
"25.200","25","Heat treatment","Traitement thermique",,
"25.220","25","Surface treatment and coating","Traitement et revêtement de surface","Including processes and equipment for surface treatment and coating","Y compris procédés et matériels de traitement et de revêtement de surface"
"27.010","27","Energy and heat transfer engineering in general","Ingénierie de l'énergie et de la transmission de la chaleur en général",,
"27.015","27","Energy efficiency. Energy conservation in general","Efficacité énergétique. Économies d’énergie en général","Including energy audits","Y compris les audits énergétiques"
"27.020","27","Internal combustion engines","Moteurs à combustion interne",,
"27.040","27","Gas and steam turbines. Steam engines","Turbines à gaz et à vapeur. Machines à vapeur",,
"27.060","27","Burners. Boilers","Brûleurs. Chaudières",,
"27.070","27","Fuel cells","Piles à combustible",,
"27.075","27","Hydrogen technologies","Technologies de l'hydrogène",,
"27.080","27","Heat pumps","Pompes à chaleur",,
"27.100","27","Power stations in general","Centrales énergétiques en général","Including thermal power plants","Y compris centrales thermiques"
"27.120","27","Nuclear energy engineering","Énergie nucléaire",,
"27.140","27","Hydraulic energy engineering","Énergie hydraulique","Including hydraulic turbines","Y compris turbines hydrauliques"
"27.160","27","Solar energy engineering","Énergie solaire","Including photovoltaic energy systems","Y compris systèmes photovoltaïques"
"27.180","27","Wind turbine energy systems","Énergie éolienne","Including generation of electrical energy","Y compris production d'énergie électrique"
"27.190","27","Biological sources and alternative sources of energy","Sources biologiques et autres sources d'énergie alternatives",,
"27.200","27","Refrigerating technology","Technologie frigorifique",,
"27.220","27","Heat recovery. Thermal insulation","Récupération de la chaleur. Isolation thermique",,
"29.020","29","Electrical engineering in general","Électrotechnique en général","Including voltages, general electrical terminology, electrical documentation, electrical tables, safety, fire hazard testing, etc.","Y compris normes concernant les tensions, la terminologie électrique générale, la documentation électrique, les tableaux électriques, la sécurité, les essais de comportement au feu, etc."
"29.030","29","Magnetic materials","Matériaux magnétiques",,
"29.035","29","Insulating materials","Matériaux isolants électriques",,
"29.040","29","Insulating fluids","Fluides isolants",,
"29.045","29","Semiconducting materials","Matériaux semi-conducteurs",,
"29.050","29","Superconductivity and conducting materials","Supraconductivité et matériaux conducteurs",,
"29.060","29","Electrical wires and cables","Fils et câbles électriques",,
"29.080","29","Insulation","Isolation",,
"29.100","29","Components for electrical equipment","Composants pour matériel électrique",,
"29.120","29","Electrical accessories","Accessoires électriques",,
"29.130","29","Switchgear and controlgear","Appareillages de connexion et de commande",,
"29.140","29","Lamps and related equipment","Lampes et accessoires",,
"29.160","29","Rotating machinery","Machines électriques tournantes",,
"29.180","29","Transformers. Reactors","Transformateurs. Réacteurs",,
"29.200","29","Rectifiers. Converters. Stabilized power supply","Redresseurs. Convertisseurs. Alimentations stabilisées","Including semiconductor converters","Y compris convertisseurs à semi-conducteurs"
"29.220","29","Galvanic cells and batteries","Piles galvaniques et accumulateurs",,
"29.240","29","Power transmission and distribution networks","Réseau de transport et de distribution de courant",,
"29.260","29","Electrical equipment for working in special conditions","Installations électriques pour conditions particulières",,
"29.280","29","Electric traction equipment","Matériel de traction électrique","Including railway electric fixed installations","Y compris installations fixes de traction électrique"
"31.020","31","Electronic components in general","Composants électroniques en général",,
"31.040","31","Resistors","Résistances électriques",,
"31.060","31","Capacitors","Condensateurs",,
"31.080","31","Semiconductor devices","Dispositifs à semi-conducteurs",,
"31.100","31","Electronic tubes","Tubes électroniques",,
"31.120","31","Electronic display devices","Dispositifs d'affichage électroniques","Including liquid crystal displays","Y compris affichage à cristaux liquides"
"31.140","31","Piezoelectric devices","Dispositifs piézo-électriques",,
"31.160","31","Electric filters","Filtres électriques",,
"31.180","31","Printed circuits and boards","Cartes et circuits imprimés",,
"31.190","31","Electronic component assemblies","Assemblages de composants électroniques","Including preassembled modules","Y compris modules préassemblés"
"31.200","31","Integrated circuits. Microelectronics","Circuits intégrés. Micro-électronique","Including electronic chips, logical and analogue microstructures","Y compris puces électroniques, microstructures logiques et analogiques"
"31.220","31","Electromechanical components for electronic and telecommunications equipment","Composants électromécaniques pour matériel électronique et de télécommunication",,
"31.240","31","Mechanical structures for electronic equipment","Structures mécaniques pour équipement électronique",,
"31.260","31","Optoelectronics. Laser equipment","Optoélectronique. Appareils à laser","Including photoelectric tubes and cells","Y compris tubes et cellules photoélectriques"
"33.020","33","Telecommunications in general","Télécommunications en général","Including infrastructure","Y compris infrastructure"
"33.030","33","Telecommunication services. Applications","Services de télécommunication. Applications","Including supplementary services, service aspects and associated legal traceability aspects","Y compris compléments de service, aspects de service et aspects légaux de traçabilité associés (interface d'interception autorisée)"
"33.040","33","Telecommunication systems","Systèmes de télécommunication","Including network (system) aspects","Y compris les aspects réseau (système)"
"33.050","33","Telecommunication terminal equipment","Équipements terminaux de télécommunication",,
"33.060","33","Radiocommunications","Radiocommunications",,
"33.070","33","Mobile services","Services mobiles",,
"33.080","33","Integrated Services Digital Network (ISDN)","Réseau numérique à intégration de services (RNIS)",,
"33.100","33","Electromagnetic compatibility (EMC)","Compatibilité électromagnétiques (CEM)","Including radio interference","Y compris les interférences radio"
"33.120","33","Components and accessories for telecommunications equipment","Composants et accessoires pour matériel de télécommunication",,
"33.140","33","Special measuring equipment for use in telecommunications","Matériel de mesure spécifique aux télécommunications",,
"33.160","33","Audio, video and audiovisual engineering","Techniques audio, vidéo et audiovisuelles",,
"33.170","33","Television and radio broadcasting","Radiodiffusion sonore et de télévision",,
"33.180","33","Fibre optic communications","Communication par fibres optiques",,
"33.200","33","Telecontrol. Telemetering","Télécommande. Télémesure","Including Supervising, Control and Data Acquisition System (SCADA)","Y compris système de commande de surveillance et d'acquisition de données (SCADA)"
"35.020","35","Information technology (IT) in general","Technologie de l'information (TI) en général","Including general aspects of IT equipment","Y compris les aspects généraux du matériel des technologies de l'information"
"35.030","35","IT Security","Sécurité des technologies de l’information","Including encryption","Y compris le chiffrement"
"35.040","35","Information coding","Codage de l'information","Including coding of audio, picture, multimedia and hypermedia information, bar coding, etc.","Y compris le codage d’informations audio, multimédias ou hypermédias, le codage d’images, les codes à barres, etc."
"35.060","35","Languages used in information technology","Langages utilisés dans les technologies de l'information",,
"35.080","35","Software","Logiciels","Including software development, documentation and use","Y compris développement, documentation et utilisation de logiciel"
"35.100","35","Open systems interconnection (OSI)","Interconnexion des systèmes ouverts (modèle OSI)",,
"35.110","35","Networking","Réseaux","Including local area networks (LAN), metropolitan area networks (MAN), wide area networks (WAN), etc.","Y compris réseau locaux, réseaux métropolitains, réseaux longue distance, etc."
"35.140","35","Computer graphics","Infographie",,
"35.160","35","Microprocessor systems","Systèmes à microprocesseurs","Including PCs, calculators, etc.","Y compris ordinateurs personnels, calculateurs, etc."
"35.180","35","IT terminal and other peripheral equipment","Terminaux et autres équipements périphériques des technologies de l'information","Including modems","Y compris les modems"
"35.200","35","Interface and interconnection equipment","Matériel d'interface et d'interconnexion",,
"35.210","35","Cloud computing","Informatique en nuage",,
"35.220","35","Data storage devices","Unités de stockage des données",,
"35.240","35","Applications of information technology","Applications des technologies de l'information",,
"35.260","35","Office machines","Machines de bureau","Including typewriters, dictation equipment, addressing machines, letter opening machines, letter folding machines, postal franking machines, their ribbons and other accessories, etc.","Y compris machines à écrire, dictaphones, machines à adresser, machines à ouvrir les enveloppes, machines à plier les lettres, machines à affranchir, leurs rubans et autres accessoires, etc."
"37.020","37","Optical equipment","Matériel optique","Including microscopes, telescopes, binoculars, optical materials, optical components and optical systems","Y compris microscopes, télescopes, jumelles, systèmes, matériels et accessoires optiques"
"37.040","37","Photography","Photographie",,
"37.060","37","Cinematography","Cinématographie",,
"37.080","37","Document imaging applications","Applications imagerie documentaire","Including micrographic, electronic and optical applications","Y compris micrographie, applications optiques et électroniques"
"37.100","37","Graphic technology","Technologie graphique",,
"39.020","39","Precision mechanics","Mécanique de précision","Including microsystems","Y compris microsystèmes"
"39.040","39","Horology","Horlogerie",,
"39.060","39","Jewellery","Bijouterie","Including precious metals, precious and semi-precious stones","Y compris les métaux précieux, les pierres précieuses et semi-précieuses"
"43.020","43","Road vehicles in general","Véhicules routiers en général","Including testing and recycling of road vehicles","Y compris essais et recyclage des véhicules routiers"
"43.040","43","Road vehicle systems","Systèmes automobiles",,
"43.060","43","Internal combustion engines for road vehicles","Moteurs à combustion interne pour véhicules routiers",,
"43.080","43","Commercial vehicles","Véhicules utilitaires",,
"43.100","43","Passenger cars. Caravans and light trailers","Voitures particulières. Caravanes et remorques légères",,
"43.120","43","Electric road vehicles","Véhicules routiers électriques","Including their components and systems","Y compris leurs composants et systèmes"
"43.140","43","Motorcycles and mopeds","Motocycles et cyclomoteurs","Including their components and systems","Y compris leurs composants et systèmes"
"43.150","43","Cycles","Bicyclettes","Including their components and systems","Y compris leurs composants et systèmes"
"43.160","43","Special purpose vehicles","Véhicules spéciaux","Including waste collection vehicles and components and systems for special purpose vehicles","Y compris les véhicules de collecte des ordures, les équipements et systèmes des véhicules spéciaux"
"43.180","43","Diagnostic, maintenance and test equipment","Matériel de diagnostic, d'entretien et d'essai","Including repairing facilities","Y compris installations de réparation"
"45.020","45","Railway engineering in general","Génie ferroviaire en général",,
"45.040","45","Materials and components for railway engineering","Matériaux et composants pour les chemins de fer",,
"45.060","45","Railway rolling stock","Matériel roulant de chemins de fer","Including materials, components, electric and electronic equipment for railway rolling stock","Y compris matériaux, composants et équipements électriques et électroniques pour matériel roulant de chemins de fer"
"45.080","45","Rails and railway components","Rails et éléments constitutifs de la ligne de chemin de fer","Including track components","Y compris éléments de la voie ferrée"
"45.100","45","Cableway equipment","Matériel pour transporteurs aériens par câble","Including ropeway equipment","Y compris matériel pour télésièges"
"45.120","45","Equipment for railway/cableway construction and maintenance","Matériel pour la construction et l'entretien des chemins de fer et des transporteurs aériens par câble",,
"45.140","45","Metro, tram and light rail equipment","Equipements pour le métro, le tramway et le rail léger",,
"47.020","47","Shipbuilding and marine structures in general","Construction navale et structures maritimes en général","Including offshore structures, except offshore structures for petroleum and natural gas industries, and seabed mining","Y compris constructions en haute mer sauf les constructions pour les industries du pétrole et du gaz naturel, et pour l'exploitation des gisements marins"
"47.040","47","Seagoing vessels","Navires de haute mer","Including their systems and components","Y compris leurs systèmes et composants"
"47.060","47","Inland navigation vessels","Navires fluviaux","Including their systems and components","Y compris leurs systèmes et composants"
"47.080","47","Small craft","Petits navires","Including small craft systems and components, and life-saving appliances","Y compris leurs systèmes et composants et les engins de sauvetage"
"49.020","49","Aircraft and space vehicles in general","Aéronautique et espace en général","Including aircraft performance, flight dynamics, etc.","Y compris performance des aéronefs, mécanique du vol, etc."
"49.025","49","Materials for aerospace construction","Matériaux pour la construction aéronautique",,
"49.030","49","Fasteners for aerospace construction","Éléments de fixation pour la construction aéronautique",,
"49.035","49","Components for aerospace construction","Composants pour la construction aéronautique","Including bearings, rod ends and other mechanical components","Y compris les roulements, les embouts de bielles et autres composants mécaniques"
"49.040","49","Coatings and related processes used in aerospace industry","Revêtements et procédés connexes pour la construction aéronautique",,
"49.045","49","Structure and structure elements","Structure et éléments de structure",,
"49.050","49","Aerospace engines and propulsion systems","Moteurs et systèmes de propulsion aérospatiaux","Including fuel systems","Y compris systèmes d'alimentation en carburant"
"49.060","49","Aerospace electric equipment and systems","Équipement et systèmes électriques aérospatiaux","Including Avionics","Y compris électronique aérospatiale"
"49.080","49","Aerospace fluid systems and components","Systèmes aérospatiaux de fluides et leurs composants",,
"49.090","49","On-board equipment and instruments","Équipement et instruments de bord","Including navigation instruments and telecommunications equipment","Y compris instruments de navigation et matériel de télécommunication"
"49.095","49","Passenger and cabin equipment","Équipement de cabine et équipement pour passagers",,
"49.100","49","Ground service and maintenance equipment","Matériel d'entretien et pour les services au sol",,
"49.120","49","Cargo equipment","Matériel de fret",,
"49.140","49","Space systems and operations","Systèmes spatiaux, développement et mise en oeuvre","Including space data and information transfer systems, and ground support equipment for launch site operations","Y compris les systèmes de transfert des informations et données spatiales et les équipements au sol pour les opérations de lancement"
"53.020","53","Lifting equipment","Matériel de levage",,
"53.040","53","Continuous handling equipment","Engins de manutention continue",,
"53.060","53","Industrial trucks","Chariots industriels","Including fork-lift trucks, sliding platforms, etc.","Y compris chariots élévateurs à fourche, plates-formes coulissantes, etc."
"53.080","53","Storage equipment","Matériel de stockage","Including loading devices, shelves, etc.","Y compris dispositifs de chargement, rayonnages, etc."
"53.100","53","Earth-moving machinery","Engins de terrassement","Including tractors, excavators, loaders, graders, etc.","Y compris tracteurs, excavatrices, pelleteuses, niveleuses, etc."
"53.120","53","Equipment for manual handling","Équipement pour manutention manuelle","Including shovels, spades, crowbars, picks, etc.","Y compris pelles, bêches, pinces, pioches, etc."
"55.020","55","Packaging and distribution of goods in general","Emballage et distribution des marchandises en général",,
"55.040","55","Packaging materials and accessories","Matériaux d'emballage et accessoires","Including wrappers, paper, films, foils, cords, sealing devices, cushioning, etc.","Y compris feuilles, films, papier, ficelles, dispositifs de cachetage, de matelassage, etc."
"55.060","55","Spools. Bobbins","Canettes. Bobines","Including holders, supports, etc. for externally wound or mounted material","Y compris supports pour matériaux enveloppés extérieurement"
"55.080","55","Sacks. Bags","Sacs. Pochettes","Including sachets, envelopes","Y compris sachets, enveloppes"
"55.100","55","Bottles. Pots. Jars","Bouteilles. Pots. Bocaux","Small containers for liquids and their closures","Petits récipients pour liquides et leurs dispositifs de fermeture"
"55.120","55","Cans. Tins. Tubes","Boîtiers. Boîtes de conserve. Tubes","Light gauge metal and plastics containers","Récipients légers en métal et plastique"
"55.130","55","Aerosol containers","Récipients pour aérosols",,
"55.140","55","Barrels. Drums. Canisters","Barils. Tonneaux. Bidons","Containers mainly for transportation of fluids, including also casks, pails, large tin cans for shipping materials, etc.","Conteneurs destinés principalement au transport de liquides, y compris aussi fûts, seaux, etc."
"55.160","55","Cases. Boxes. Crates","Boîtes. Caisses. Cageots","Containers for solid goods or objects and bulk materials","Conteneurs pour objets et marchandises solides et matériaux en vrac"
"55.180","55","Freight distribution of goods","Distribution des marchandises",,
"55.200","55","Packaging machinery","Machines d'emballage","Including labelling, marking, branding, filling, sealing machines, etc.","Y compris machines à étiqueter, à marquer, à remplir, à plomber, etc."
"55.220","55","Storing. Warehousing","Entrepôts. Magasins",,
"55.230","55","Distribution and vending machines","Distributeurs automatiques","Including distribution of tickets, food, beverages, tobacco products, etc.","Y compris distributeurs de tickets, nourriture, boissons, tabac, etc."
"59.020","59","Processes of the textile industry","Procédés de l'industrie textile",,
"59.040","59","Textile auxiliary materials","Matériaux auxiliaires du textile","Including feathers and down","Y compris plumes et duvets"
"59.060","59","Textile fibres","Fibres textiles",,
"59.080","59","Products of the textile industry","Produits de l'industrie textile",,
"59.100","59","Materials for the reinforcement of composites","Matériaux pour le renforcement des composites",,
"59.120","59","Textile machinery","Matériel pour l'industrie textile",,
"59.140","59","Leather technology","Technologie du cuir","Including fur and imitation leather","Y compris fourrure et imitation du cuir"
